,title,duration,url
0,"
Kinky Wired Pussy
","
00:51:25
",https://bdsmstreak.com/video/63175/kinky-wired-pussy
1,"
Electro Fisted Slut India Summer - Wired Pussy
","
00:26:00
",https://bdsmstreak.com/video/62302/electro-fisted-slut-india-summer-wired-pussy
2,"
Chanta Shocks Cunt
","
00:29:58
",https://bdsmstreak.com/video/61872/chanta-shocks-cunt
3,"
Electric Pain For Her Pussy
","
00:10:33
",https://bdsmstreak.com/video/61615/electric-pain-for-her-pussy
4,"
Two Sluts Electro Tortured
","
00:42:59
",https://bdsmstreak.com/video/61608/two-sluts-electro-tortured
5,"
Anikka Albrite in DB - 1
","
00:51:52
",https://bdsmstreak.com/video/61264/anikka-albrite-in-db-1
6,"
Electro and Ass Flogging
","
01:41:31
",https://bdsmstreak.com/video/61191/electro-and-ass-flogging
7,"
Lezdom Electro
","
00:57:41
",https://bdsmstreak.com/video/60976/lezdom-electro
8,"
Obedient nd Shocked
","
00:07:29
",https://bdsmstreak.com/video/60907/obedient-nd-shocked
9,"
Lezdom Electro Torture
","
00:22:57
",https://bdsmstreak.com/video/60707/lezdom-electro-torture
10,"
Electro Pain
","
00:12:34
",https://bdsmstreak.com/video/60679/electro-pain
11,"
Isabella Electro Tortured
","
00:06:49
",https://bdsmstreak.com/video/60677/isabella-electro-tortured
12,"
Interrogation electro torture
","
00:14:46
",https://bdsmstreak.com/video/60678/interrogation-electro-torture
13,"
Electro Play
","
00:08:28
",https://bdsmstreak.com/video/60675/electro-play
14,"
Luna Tortured
","
00:14:07
",https://bdsmstreak.com/video/60676/luna-tortured
15,"
Japanese Electro Torture Compilation
","
01:14:27
",https://bdsmstreak.com/video/60668/japanese-electro-torture-compilation
16,"
Insex 33, 423 and Sage - Electro Live Feed
","
01:24:23
",https://bdsmstreak.com/video/60524/insex-33-423-and-sage-electro-live-feed
17,"
Insex - Anna and 33
","
00:51:19
",https://bdsmstreak.com/video/60525/insex-anna-and-33
18,"
Insex 2003 - Electric Fantasy
","
00:47:18
",https://bdsmstreak.com/video/60516/insex-2003-electric-fantasy
19,"
Insex Live Feed 2004
","
01:24:23
",https://bdsmstreak.com/video/60408/insex-live-feed-2004
20,"
Insex - 2004 Live Feed Anna
","
00:51:19
",https://bdsmstreak.com/video/60409/insex-2004-live-feed-anna
21,"
Shocked While Hanging Around
","
00:07:44
",https://bdsmstreak.com/video/60390/shocked-while-hanging-around
22,"
Electro Torture of a Slave
","
00:17:24
",https://bdsmstreak.com/video/60182/electro-torture-of-a-slave
23,"
Electro Tortured - Vintage
","
00:06:24
",https://bdsmstreak.com/video/60004/electro-tortured-vintage
24,"
Electric Frame
","
00:11:18
",https://bdsmstreak.com/video/59974/electric-frame
25,"
Lily Labeau, Aiden Starr, Juliette March, Princess Donna
","
01:07:53
",https://bdsmstreak.com/video/59912/lily-labeau-aiden-starr-juliette-march-princess-donna
26,"
Princess Donna and Nicotine
","
00:57:53
",https://bdsmstreak.com/video/59913/princess-donna-and-nicotine
27,"
Vai, Jizz Lee, Syd Blakkovich, Princess Donna - Electro Lezdom
","
01:13:02
",https://bdsmstreak.com/video/59911/vai-jizz-lee-syd-blakkovich-princess-donna-electro-lezdom
28,"
Penny Flame and Christina Carter - WiredPussy
","
00:57:01
",https://bdsmstreak.com/video/59904/penny-flame-and-christina-carter-wiredpussy
29,"
Buzzing The Bitch
","
00:08:20
",https://bdsmstreak.com/video/59668/buzzing-the-bitch
30,"
Still buzzing
","
00:07:43
",https://bdsmstreak.com/video/59669/still-buzzing
31,"
Strill Buzzing - 2
","
00:06:53
",https://bdsmstreak.com/video/59670/strill-buzzing-2
32,"
Shock Electro Torture
","
00:09:58
",https://bdsmstreak.com/video/59652/shock-electro-torture
33,"
Elise Stretched To Cum
","
00:20:15
",https://bdsmstreak.com/video/59534/elise-stretched-to-cum
34,"
4some Electro Sluts
","
00:58:55
",https://bdsmstreak.com/video/59514/4some-electro-sluts
35,"
Shock Collar
","
00:05:47
",https://bdsmstreak.com/video/59282/shock-collar
36,"
A Bit Shocking
","
00:02:37
",https://bdsmstreak.com/video/59280/a-bit-shocking
37,"
Charlotte Brooke - Electrotorture
","
00:05:47
",https://bdsmstreak.com/video/58913/charlotte-brooke-electrotorture
