,title,duration,url
0,"
3 Fists one Ass
","
00:05:02
",https://bdsmstreak.com/video/61167/3-fists-one-ass
1,"
Fisted Squirter
","
00:01:00
",https://bdsmstreak.com/video/61151/fisted-squirter
2,"
Lucia Love Fisted
","
00:12:26
",https://bdsmstreak.com/video/60780/lucia-love-fisted
3,"
Cybill Troy - Fist Fucker
","
00:20:25
",https://bdsmstreak.com/video/60311/cybill-troy-fist-fucker
4,"
Fisting and Needle Torture
","
00:15:52
",https://bdsmstreak.com/video/60063/fisting-and-needle-torture
5,"
Deep Ass Fisting
","
00:12:02
",https://bdsmstreak.com/video/59747/deep-ass-fisting
6,"
Fisted and Used Nurse
","
01:06:34
",https://bdsmstreak.com/video/59515/fisted-and-used-nurse
7,"
Hard Femdom Fisting From Domme
","
00:41:12
",https://bdsmstreak.com/video/59388/hard-femdom-fisting-from-domme
8,"
No Rest For The Ass
","
00:27:54
",https://bdsmstreak.com/video/59144/no-rest-for-the-ass
9,"
Double Fisting with Pleasure
","
00:13:15
",https://bdsmstreak.com/video/58782/double-fisting-with-pleasure
10,"
Getting Corrected
","
00:05:59
",https://bdsmstreak.com/video/58684/getting-corrected
11,"
Getting Corrected
","
00:05:59
",https://bdsmstreak.com/video/58685/getting-corrected
12,"
Fisting GF
","
00:05:14
",https://bdsmstreak.com/video/58362/fisting-gf
13,"
Lady Kacykisha - Doublefisting Gynochar
","
00:06:00
",https://bdsmstreak.com/video/57908/lady-kacykisha-doublefisting-gynochar
14,"
Domina Double Fisting Male Ass
","
00:12:29
",https://bdsmstreak.com/video/57905/domina-double-fisting-male-ass
15,"
CBT And Ass Fisting
","
00:15:43
",https://bdsmstreak.com/video/57906/cbt-and-ass-fisting
16,"
Sissy fisted By Russian Domme
","
00:16:27
",https://bdsmstreak.com/video/57903/sissy-fisted-by-russian-domme
17,"
Fisted Suspension
","
00:04:19
",https://bdsmstreak.com/video/57859/fisted-suspension
18,"
Anal Fisting to Squirt
","
00:04:30
",https://bdsmstreak.com/video/57766/anal-fisting-to-squirt
19,"
Cuffed GF Anal Fisted
","
00:03:50
",https://bdsmstreak.com/video/57731/cuffed-gf-anal-fisted
20,"
Anal Fisting Outdoors
","
00:06:16
",https://bdsmstreak.com/video/57732/anal-fisting-outdoors
21,"
Girlfriend getting Anal Fisted
","
00:03:50
",https://bdsmstreak.com/video/57729/girlfriend-getting-anal-fisted
22,"
Anal Fisting for Sub GF
","
00:32:20
",https://bdsmstreak.com/video/57730/anal-fisting-for-sub-gf
23,"
Slave Holes Stretched
","
00:06:11
",https://bdsmstreak.com/video/57728/slave-holes-stretched
24,"
Squirting Mature MILF
","
00:05:10
",https://bdsmstreak.com/video/57432/squirting-mature-milf
25,"
Femdom Double Anal Fisting and Pegging
","
00:14:04
",https://bdsmstreak.com/video/57403/femdom-double-anal-fisting-and-pegging
26,"
Dominant Lezdom fisting
","
00:19:32
",https://bdsmstreak.com/video/57380/dominant-lezdom-fisting
27,"
Jolie Being Fisted
","
00:07:42
",https://bdsmstreak.com/video/57099/jolie-being-fisted
28,"
Samira Brutal Fisting
","
00:05:25
",https://bdsmstreak.com/video/57098/samira-brutal-fisting
29,"
Patty likes Fist
","
00:06:04
",https://bdsmstreak.com/video/57097/patty-likes-fist
30,"
Young Slut Gets Fisted
","
00:05:35
",https://bdsmstreak.com/video/56589/young-slut-gets-fisted
31,"
Merciless punch fisting
","
00:11:30
",https://bdsmstreak.com/video/56424/merciless-punch-fisting
32,"
Cola Can Cunt
","
00:18:08
",https://bdsmstreak.com/video/56423/cola-can-cunt
33,"
Baseball Bat Fucking
","
00:19:34
",https://bdsmstreak.com/video/56422/baseball-bat-fucking
34,"
Coke Rider
","
00:06:16
",https://bdsmstreak.com/video/56421/coke-rider
35,"
Christmas and New Year Champagne
","
00:22:07
",https://bdsmstreak.com/video/56417/christmas-and-new-year-champagne
36,"
Fited Bitch
","
00:02:44
",https://bdsmstreak.com/video/56391/fited-bitch
37,"
French Fistfuck Slave
","
00:09:32
",https://bdsmstreak.com/video/56191/french-fistfuck-slave
38,"
Loser Fisted
","
00:15:16
",https://bdsmstreak.com/video/56111/loser-fisted
39,"
Helpless For Toying
","
00:05:25
",https://bdsmstreak.com/video/55435/helpless-for-toying
