,title,duration,url
0,"
                    Outdoors Suspension BDSM - Japanese Couple

                ","
                    00:39:59
                ",https://bdsmstreak.com/video/62169/outdoors-suspension-bdsm-japanese-couple
1,"
                    Put The Fire Out

                ","
                    00:31:30
                ",https://bdsmstreak.com/video/61612/put-the-fire-out
2,"
                    Hot Wax Torture

                ","
                    00:17:49
                ",https://bdsmstreak.com/video/61219/hot-wax-torture
3,"
                    Hot Wax - Asian

                ","
                    00:35:43
                ",https://bdsmstreak.com/video/60853/hot-wax-asian
4,"
                    Alligator Clamps, Hot Wax and Caning

                ","
                    00:12:06
                ",https://bdsmstreak.com/video/60599/alligator-clamps-hot-wax-and-caning
5,"
                    Candle Snuffer

                ","
                    00:31:30
                ",https://bdsmstreak.com/video/60555/candle-snuffer
6,"
                    Amateur Slave Games - Part 3

                ","
                    00:20:32
                ",https://bdsmstreak.com/video/58929/amateur-slave-games-part-3
7,"
                    GVG-773 - Japanese BDSM

                ","
                    02:02:53
                ",https://bdsmstreak.com/video/58726/gvg-773-japanese-bdsm
8,"
                    Japanese - ADVR-503

                ","
                    01:50:42
                ",https://bdsmstreak.com/video/58725/japanese-advr-503
9,"
                    Bitch Discipline

                ","
                    00:04:27
                ",https://bdsmstreak.com/video/58600/bitch-discipline
10,"
                    Slave Use and Hot Wax

                ","
                    00:12:02
                ",https://bdsmstreak.com/video/58427/slave-use-and-hot-wax
11,"
                    Streched Bitch

                ","
                    00:07:01
                ",https://bdsmstreak.com/video/57824/streched-bitch
12,"
                    Hot Wax Fun

                ","
                    00:18:51
                ",https://bdsmstreak.com/video/57776/hot-wax-fun
13,"
                    French Mature Domme - Lezdom

                ","
                    00:40:36
                ",https://bdsmstreak.com/video/56935/french-mature-domme-lezdom
14,"
                    Tits for Hot Wax

                ","
                    01:52:03
                ",https://bdsmstreak.com/video/56729/tits-for-hot-wax
15,"
                    Sadoslaves - Caitlin

                ","
                    00:45:48
                ",https://bdsmstreak.com/video/56404/sadoslaves-caitlin
16,"
                    Hot Wax and Orgasm

                ","
                    00:12:20
                ",https://bdsmstreak.com/video/56371/hot-wax-and-orgasm
17,"
                    Bondage  Tape and Hot Wax

                ","
                    00:53:58
                ",https://bdsmstreak.com/video/55819/bondage-tape-and-hot-wax
18,"
                    Holly Puts Out Candles

                ","
                    00:01:12
                ",https://bdsmstreak.com/video/55456/holly-puts-out-candles
